Pos,Region,Poblacion,Superficie,Fecha,Nuevos.Sintomaticos,Nuevos.Asintomaticos,Nuevos.No.Notificados,Nuevos.Confirmados,Tasa.Incidencia,Casos.Confirmados,Nuevos.Fallecidos,Casos.Fallecidos,Letalidad,Activos.Confirmados,Activos.Probables,Probables.Acumulados,Recuperados.Confirmados,Fecha.Primer.Contagiado,Periodo.Infeccioso,Pacientes.UCI,Examenes.PCR,Examenes.PCR.Acumulados,Tasa.Positividad,I.Movilidad,Residencias.Sanitarias,Cupos.Residencias.Sanitarias,Usuarios.Residencias.Sanitarias,Vacunados.Primera.Dosis,Vacunados.Segunda.Dosis,Vacunados.Tercera.Dosis,Vacunados.Cuarta.Dosis,Vacunados.Unica.Dosis
6,Valparaiso,1960170,16396,2022-04-13,228,25,121,374,19,0799777570313,302550,0,5529,1,82746653445711,1199,2,50200,296226,2020-03-16,759,39,3091,2641950,12,0996441281139,0,1,204,14,0,0,0,0,0
7,Metropolitana,8125072,15403,2022-04-13,695,126,359,1180,14,5229482274126,1344453,4,28118,2,09140817864217,4950,4,161563,1312958,2020-03-04,771,200,15058,12507814,7,83636605126843,0,3,526,81,0,0,0,0,0
8,OHiggins,991063,16387,2022-04-13,94,23,10,127,12,8145233955864,148612,0,2488,1,67415821064248,503,0,14802,145790,2020-03-19,756,10,420,1175683,30,2380952380952,0,1,24,11,0,0,0,0,0
9,Maule,1131939,30296,2022-04-13,151,12,20,183,16,166948925693,237319,0,2866,1,20765720401653,730,3,10644,233729,2020-03-03,772,23,1068,1784223,17,1348314606742,0,4,291,66,0,0,0,0,0
10,Nuble,511551,13178,2022-04-13,53,8,13,74,14,4658108380201,99257,0,1083,1,09110692444865,341,0,10180,97800,2020-03-12,763,10,639,790874,11,5805946791862,0,3,88,13,0,0,0,0,0
11,Biobio,1663696,23890,2022-04-13,124,27,88,239,14,3656052548062,350350,0,4227,1,20650777793635,1173,1,35962,344825,2020-03-09,766,31,3062,3475745,7,80535597648596,0,3,421,141,0,0,0,0,0
12,Araucania,1014343,31842,2022-04-13,70,5,40,115,11,3373878461231,214436,0,2537,1,18310358335354,485,0,11319,211444,2020-03-16,759,10,1052,1474059,10,9315589353612,0,2,174,42,0,0,0,0,0
13,Los Rios,405835,18429,2022-04-13,29,20,9,58,14,2915224167457,105497,0,1205,1,14221257476516,253,0,6034,104002,2020-03-16,759,3,441,782081,13,1519274376417,0,1,120,10,0,0,0,0,0
14,Los Lagos,891440,48583,2022-04-13,48,16,7,71,7,9646414789554,193457,0,2293,1,18527631463323,297,1,16330,190735,2020-03-07,768,15,1252,2337375,5,67092651757189,0,1,50,8,0,0,0,0,0
15,Aysen,107297,108494,2022-04-13,8,12,1,21,19,5718426423852,24777,0,178,0,718408201154296,82,0,1794,24495,2020-03-14,761,2,147,259276,14,2857142857143,0,1,25,3,0,0,0,0,0
16,Magallanes,178362,132033,2022-04-13,42,0,12,54,30,2755071147442,50982,0,701,1,3749950963085,152,0,3294,50066,2020-03-17,758,2,369,456739,14,6341463414634,0,2,41,4,0,0,0,0,0
17,Total,19458310,755839,2022-04-13,1664,348,730,2742,14,0916657201987,3518800,4,57098,1,62265545072184,11363,14,353905,3452063,2020-03-03,772,379,32341,32657769,8,47840202838502,0,29,2347,473,0,0,0,0,0
